Vr,Vg,Vb,R,G,B,X,Y,Z,x,y,X_ne,Y_ne,Z_ne,x_ne,y_ne,Symbol
-0.000187058071396527,0.0328106475997787,0.00496407497829139,-8.53445927139396e-06,0.000211177795157446,7.74141774880578e-06,6.28315150055864e-05,0.00017013278879932,9.77578152289218e-06,0.25884276558912,0.700884604903929,0.0110724572966054,0.0266750345601844,0.00524254070450626,0.257558709238427,0.620493471879804,0
0.00215724747776647,0.0292754282743032,0.0109297868893998,8.93167917008888e-06,0.000170378047184801,5.80261857170455e-05,6.8798954564041e-05,0.000140612583149835,5.91497043317231e-05,0.256176036571798,0.523577348983069,0.0123183914070195,0.0242813096508186,0.0111132433032488,0.258177137713304,0.508904029628941,1
0.0151697003581788,0.023078443644446,0.00254106915990483,0.000100726252646326,0.000149607056721535,-3.26748645746174e-06,9.50805540888833e-05,0.000139331564430352,-1.73874102567178e-06,0.408643890045019,0.598828993378095,0.0150956845372668,0.0214605210543046,0.00274644290475024,0.384088225979977,0.546032439933739,2
0.0302571529649558,0.0107132925143232,0.00404741150740099,0.000208906080617344,5.92598390068703e-05,1.9279254138405e-05,0.00012459038042231,8.53177407675242e-05,1.96790599870896e-05,0.542671327657002,0.371613695199198,0.0189566079337487,0.014101111183168,0.00411407031747021,0.509972972035947,0.379349807952031,3
0.00107768463749539,0.0128753857740631,0.0263090782247375,5.91248929036105e-06,1.59997550438895e-05,0.000195205550743236,4.68981539645298e-05,1.61195692317716e-05,0.000193413492786242,0.182887850782263,0.0628611815843393,0.0097812507072798,0.0109303467546754,0.0261747413002308,0.208616218828509,0.233124339482245,4
0.00626876189397533,0.0213451154825355,0.0175449525179518,3.97646342995338e-05,9.75136783743576e-05,0.000117509479313154,7.32158069654533e-05,8.75063854084155e-05,0.000117309521303766,0.263336171248233,0.31473526617138,0.0131976696312243,0.0186366574556545,0.0175829541475976,0.267065878606385,0.377128344378697,5
0.0238694141946604,0.00596896868874854,0.0116733672033891,0.00016579659051613,6.50488253226057e-06,8.45166050433193e-05,0.000100160163946569,3.55240007044586e-05,8.37364878182087e-05,0.456475554235314,0.161899075154009,0.0158810666895735,0.00919744828614039,0.0116163232182427,0.432787483777187,0.250646923077458,6
0.0395222709194625,0.000638923032647814,0.00272266935228231,0.000275790772775206,-7.05256219339075e-06,1.77478572875463e-05,0.000136500755837409,4.32658512550841e-05,1.74998530927369e-05,0.691961297978566,0.219326951041035,0.0201085127611139,0.00754225933155513,0.00270183188908596,0.662497121275037,0.248488048540705,7
0.00196832489583285,0.0363812550273247,0.00427226268763493,5.65764077445175e-06,0.000237316644657882,-1.31147515094786e-06,7.60781087932353e-05,0.000193783333827064,1.07480604714044e-06,0.280797084802843,0.715235908004776,0.0130971207949557,0.0299498801933837,0.00459335261103182,0.274916532003419,0.628666202716408,0
0.00189516802882893,0.0303354718998318,0.00970117816429686,6.79918132673945e-06,0.000181032557184718,4.73346074912144e-05,6.89186130756077e-05,0.000148777267453889,4.86715869881494e-05,0.258735098988926,0.55854143465937,0.0122728642559334,0.0250830487813717,0.00990752110165221,0.259669329567768,0.53070728435911,1
